area_m2,quartos,banheiros,idade_imovel,distancia_centro_km,preco
206.3,1,1,15,7.5,689998.23
272.0,1,1,2,1.9,935352.93
96.8,5,5,1,17.3,393312.0
149.1,4,3,0,23.0,506463.86
81.5,4,3,17,5.5,336218.09
64.1,1,1,22,18.5,143037.41
249.9,4,1,24,3.3,877206.12
270.2,3,3,12,21.4,953621.14
51.9,2,2,5,25.8,153321.44
157.9,3,1,23,11.3,511199.09
214.2,1,1,34,22.1,648513.85
297.3,5,2,20,25.4,1032066.35
241.8,2,1,20,12.6,846943.81
187.5,3,1,31,12.5,627611.37
277.8,4,2,16,5.0,1000516.51
234.2,4,4,23,7.4,818623.66
299.4,5,4,5,22.9,1083604.0
81.6,4,1,24,12.1,260475.34
299.0,5,3,35,26.0,1029361.21
217.2,5,3,21,4.2,806902.38
153.0,4,1,16,29.2,485687.87
67.7,3,3,32,18.7,162107.48
79.7,2,1,38,10.4,255418.63
268.5,3,1,3,8.0,968366.81
187.5,1,1,31,24.7,567584.93
72.7,4,2,16,16.3,246148.25
197.7,2,1,19,12.6,645013.68
273.9,4,1,15,7.5,957105.61
127.9,5,5,14,18.1,511692.58
55.3,1,1,21,3.1,166667.07
101.9,4,2,34,4.8,374164.63
162.9,4,4,12,3.7,616792.83
211.3,3,2,26,14.5,701127.9
295.9,1,1,25,22.1,912689.49
248.2,1,1,12,6.5,828344.32
112.4,2,1,28,24.4,308843.28
262.6,1,1,34,25.2,843318.87
260.7,2,2,31,15.0,842607.04
264.8,1,1,24,1.1,863209.78
244.1,3,2,35,20.2,813787.44
166.5,2,2,13,29.1,493479.72
234.5,1,1,37,14.8,713418.67
279.0,5,2,3,28.9,986033.73
194.7,2,2,7,28.3,634736.05
188.1,5,5,2,19.0,689210.51
175.9,3,1,20,7.9,617818.18
142.9,3,2,20,27.9,439966.23
201.5,5,1,4,16.6,729374.88
171.5,2,2,4,26.5,550753.07
256.8,3,3,33,1.2,906766.73
252.4,3,3,6,28.2,862383.75
67.8,5,2,17,9.2,274101.08
94.8,3,1,40,25.7,212498.83
276.1,1,1,40,13.3,868933.17
111.9,1,1,8,19.5,337682.06
183.4,4,1,7,3.2,719092.75
269.6,2,1,23,17.9,888139.21
120.1,1,1,13,20.8,363324.75
213.4,3,3,26,29.2,676150.29
101.6,2,1,26,1.7,290888.81
231.5,3,2,15,8.7,817375.91
266.8,4,2,12,24.7,902396.11
159.7,3,1,14,1.7,585090.33
264.7,3,2,32,12.6,902364.3
295.1,5,3,1,4.3,1129278.19
290.3,3,1,6,18.3,999830.42
129.9,3,2,38,29.5,383194.39
89.4,1,1,0,16.1,316082.85
249.7,2,2,27,3.0,847761.44
121.6,1,1,32,10.0,339231.48
146.2,4,3,35,4.7,469917.5
216.1,2,2,25,16.9,724413.16
40.1,3,1,27,23.8,54125.05
154.9,2,2,10,20.1,496893.2
113.8,5,3,5,24.7,413413.78
98.4,2,1,1,2.3,343605.34
295.8,5,1,29,13.0,1012282.86
221.1,4,4,15,5.3,810376.05
218.8,1,1,14,6.1,765823.74
53.1,2,1,29,4.9,144842.7
160.8,5,5,38,10.2,571913.13
251.9,5,4,35,13.9,855339.1
81.4,4,4,16,22.8,285125.25
242.2,4,2,17,13.8,834682.86
225.5,2,2,21,10.3,751780.07
100.1,2,1,4,13.0,338625.33
126.0,4,4,3,7.0,467967.8
191.9,1,1,30,1.2,651913.74
131.5,4,4,34,22.7,390089.52
97.3,2,2,27,15.1,279477.25
141.1,4,2,29,27.7,453288.67
275.8,5,5,1,3.4,1065113.07
151.4,4,2,3,8.5,564111.51
127.8,4,3,26,8.3,473875.15
61.3,1,1,22,7.5,216679.09
50.5,1,1,12,25.3,120839.56
201.5,2,1,30,20.4,609143.24
221.9,3,1,38,18.6,692363.68
234.5,1,1,19,4.1,810520.56
216.1,4,4,12,3.2,817528.35
219.6,2,1,19,25.7,683295.83
295.8,1,1,34,13.4,944106.84
136.3,5,3,0,25.6,503396.65
289.8,4,2,27,6.1,1009512.81
175.7,3,3,34,23.5,508970.49
194.0,3,1,5,9.1,702884.52
157.2,4,4,21,1.8,602309.15
95.2,3,2,17,26.5,270493.61
222.3,3,3,0,16.0,804430.43
145.7,5,2,30,19.7,495707.46
167.6,1,1,18,7.4,545283.43
191.2,4,3,27,29.9,593529.66
183.1,3,3,29,8.9,625060.55
90.1,1,1,12,7.3,302591.75
165.9,5,5,38,9.2,602654.72
99.1,2,2,0,21.5,336108.47
72.9,1,1,35,9.5,206415.22
235.7,1,1,36,9.2,738540.62
164.5,3,1,3,8.3,604206.71
57.0,4,1,36,19.3,130083.25
53.9,2,2,5,29.8,160267.16
197.6,5,2,33,12.0,703638.78
276.2,3,3,27,9.9,932124.36
232.4,2,1,16,20.2,739892.62
80.8,2,1,10,1.1,271941.06
115.7,2,2,18,21.4,358965.26
158.0,2,2,40,18.1,469112.15
69.8,2,1,17,25.0,160775.23
58.6,2,2,38,22.7,92030.64
72.3,3,3,25,28.3,180196.84
170.1,4,4,5,18.3,647472.64
197.0,1,1,14,28.9,576946.18
257.3,5,5,1,30.0,916113.94
50.5,2,2,33,19.9,83052.22
278.2,2,2,40,24.6,888012.39
146.2,3,3,6,25.9,486645.64
125.7,4,3,25,24.6,379202.38
121.8,3,1,25,26.1,344179.64
254.5,1,1,26,2.6,826215.31
169.6,4,1,13,8.7,606272.26
74.1,3,2,31,4.5,271864.8
102.2,2,2,35,1.4,324898.22
146.1,2,1,29,28.5,398918.01
282.5,3,3,17,13.0,975492.08
165.4,4,2,29,17.0,512291.15
172.1,2,1,17,23.4,566315.07
262.1,3,3,17,24.8,874499.31
192.6,4,2,28,16.6,660785.87
129.7,5,5,24,14.2,472713.32
221.3,5,4,14,25.8,787789.36
146.8,3,3,30,21.5,465735.1
212.6,2,2,2,4.7,753696.17
291.0,3,1,28,3.9,1006775.2
77.5,2,1,30,23.7,176273.44
108.9,5,4,5,25.7,424802.48
138.8,3,3,31,26.3,382198.9
49.3,1,1,40,20.8,50000
63.5,1,1,28,5.8,185825.08
117.9,1,1,20,24.1,318132.8
77.8,5,4,36,20.8,263570.31
86.8,2,1,39,26.3,174058.77
277.3,2,1,29,19.5,881906.47
159.5,1,1,18,20.7,494951.98
129.8,5,3,40,28.9,404684.33
219.5,4,3,12,30.0,743992.98
139.2,3,3,18,29.8,423234.12
116.8,4,3,0,17.4,427627.67
52.8,5,4,18,23.5,154904.71
99.8,3,1,40,6.5,302667.78
239.5,2,1,40,19.7,770721.83
120.3,4,1,37,11.6,409984.46
124.9,4,2,12,4.8,506982.23
180.2,3,3,32,27.5,560666.2
254.4,4,3,21,24.3,846014.04
161.8,1,1,14,25.9,474580.09
291.5,5,3,5,23.9,982359.85
43.6,5,1,29,11.7,142403.15
139.1,3,1,14,14.7,452154.66
201.1,5,3,39,7.4,737019.71
276.4,3,3,26,4.4,985618.15
51.8,1,1,31,4.4,131468.61
141.0,3,3,34,13.2,479625.64
233.0,2,2,6,25.2,738541.03
112.7,3,1,28,13.9,318318.41
101.4,3,1,23,16.8,330168.96
143.5,2,1,29,3.7,468533.99
95.1,5,1,3,23.8,338869.17
186.8,1,1,37,7.3,591267.96
266.1,3,1,38,1.1,912090.87
73.8,3,1,7,20.2,228013.38
46.7,1,1,15,18.1,117779.79
73.0,4,1,4,14.8,272654.88
242.3,5,5,6,14.1,913664.16
229.1,5,3,29,19.7,810947.11
48.1,4,4,27,20.9,99871.94
59.1,1,1,38,5.3,140630.04
72.8,5,5,35,21.7,214928.98
116.7,5,5,27,3.9,476105.92
222.5,5,2,27,14.1,775901.42
157.9,4,1,20,13.4,558480.78
212.9,3,1,30,2.9,733798.78
65.1,3,1,35,2.7,195044.07
288.7,5,3,7,12.9,1090113.79
150.0,1,1,38,10.1,407747.17
66.9,5,2,9,20.0,248692.26
259.8,3,1,17,17.6,884947.15
249.9,5,5,39,20.6,824164.86
211.0,3,1,11,8.9,733234.35
238.2,3,2,0,6.3,893993.76
58.1,1,1,33,7.2,161680.58
149.2,3,1,23,10.0,477735.94
195.0,1,1,10,22.9,659332.48
52.9,1,1,28,20.2,70032.52
111.0,5,1,22,13.5,388943.78
113.6,5,4,33,20.3,396947.94
195.8,1,1,19,28.4,590746.82
239.5,3,2,20,4.5,824525.17
73.6,5,2,32,17.2,233348.72
213.7,3,1,25,26.0,676703.82
279.5,3,3,27,17.6,941471.92
224.5,4,3,7,12.7,829657.01
286.4,4,3,5,13.7,1032710.99
67.5,4,4,33,3.3,275089.06
97.6,2,1,32,19.4,233344.7
178.0,2,2,22,22.1,574124.62
101.4,2,2,12,6.0,325550.93
79.7,1,1,40,15.3,176993.57
156.7,5,5,20,26.1,511380.29
203.1,2,2,4,14.6,680853.21
193.8,3,3,4,10.0,683079.44
157.5,1,1,18,3.2,554516.65
199.9,5,4,29,17.8,665629.84
288.1,1,1,36,19.9,889777.18
79.2,1,1,6,24.5,235168.81
257.7,1,1,2,8.2,876456.52
175.9,2,2,23,27.6,541052.35
140.7,3,3,38,2.5,465664.58
125.7,5,4,18,8.3,472820.44
261.4,5,2,21,3.4,930665.56
120.7,4,2,38,21.6,319464.84
62.0,5,4,21,24.6,190117.07
232.1,5,1,27,15.7,761300.21
44.7,3,1,13,10.9,152073.46
300.0,2,1,18,25.5,962507.38
66.3,5,5,2,20.2,302241.52
195.3,2,1,11,25.1,604801.88
240.5,2,2,2,12.9,838475.64
155.5,3,3,28,7.8,520669.27
102.2,4,2,23,20.7,306118.8
240.1,4,4,10,24.7,829020.06
248.3,2,2,3,19.6,868134.92
66.7,5,1,18,3.4,252165.5
81.7,4,2,27,3.7,328019.05
270.0,1,1,3,12.5,904857.96
137.2,4,1,23,7.5,475878.35
225.8,3,1,8,2.1,829298.72
278.5,4,2,30,14.0,956871.61
106.5,2,2,7,23.5,334518.06
101.8,1,1,15,13.2,315720.45
68.8,4,1,40,15.9,159829.4
102.9,2,2,27,1.0,333493.05
88.7,1,1,4,28.6,260417.08
181.5,5,5,1,12.3,683427.82
295.1,3,3,1,11.4,1070951.88
57.6,2,1,37,22.3,95715.15
182.0,2,2,30,19.3,570331.59
251.0,1,1,2,9.5,881838.93
50.9,3,3,25,29.7,111675.85
181.2,3,1,12,9.3,639354.72
210.5,3,1,23,13.7,697880.64
144.0,4,4,21,29.2,442942.56
280.3,5,3,5,22.1,1004309.7
60.5,5,2,34,9.5,220501.64
116.9,4,4,10,21.0,428864.15
131.4,1,1,39,29.9,306601.49
286.5,1,1,23,15.9,987338.12
235.0,2,1,9,25.6,756322.98
72.8,2,2,23,12.1,199178.5
187.5,5,2,28,28.5,582204.15
189.2,5,3,25,10.1,705346.56
112.5,1,1,11,15.5,328771.14
108.1,3,3,28,7.2,386495.32
199.1,4,2,7,4.9,755154.72
225.5,1,1,22,21.6,708974.87
183.0,3,2,10,21.6,642279.57
246.4,5,2,7,29.6,838033.7
245.9,2,2,1,11.5,849975.61
295.6,2,1,4,10.0,1024751.63
299.9,4,4,26,24.9,1062884.17
207.0,4,4,33,11.0,741451.61
268.3,5,5,11,23.3,978440.94
265.7,1,1,19,5.8,914688.21
123.9,2,2,33,27.0,341262.64
205.1,5,3,8,19.1,731035.45
199.8,1,1,37,28.3,580006.79
227.4,5,3,36,2.2,840472.01
264.6,1,1,36,8.7,857352.75
200.7,1,1,40,16.8,620324.59
206.9,3,2,15,24.3,675574.99
59.0,1,1,28,13.1,118777.39
